timestep_ns,src,dst,baseline_path,da_beta0_path,equal
0,399,447,399->19->18->17->16->29->42->55->68->81->94->107->120->133->132->131->130->447,399->19->18->17->16->29->42->55->68->81->94->107->120->133->132->131->130->447,True
0,447,399,447->130->131->132->133->120->107->94->81->68->55->42->29->16->17->18->19->399,447->130->131->132->133->120->107->94->81->68->55->42->29->16->17->18->19->399,True
0,425,410,425->187->200->213->226->239->240->241->410,425->187->200->213->226->239->240->241->410,True
0,410,425,410->241->240->239->226->213->200->187->425,410->241->240->239->226->213->200->187->425,True
0,386,424,386->195->196->197->198->211->224->237->250->263->276->289->302->303->424,386->195->196->197->198->211->224->237->250->263->276->289->302->303->424,True
0,424,386,424->303->302->289->276->263->250->237->224->211->198->197->196->195->386,424->303->302->289->276->263->250->237->224->211->198->197->196->195->386,True
0,355,401,355->169->181->168->155->142->129->116->103->90->77->64->51->38->401,355->169->181->168->155->142->129->116->103->90->77->64->51->38->401,True
0,401,355,401->38->51->64->77->90->103->116->129->142->155->168->181->169->355,401->38->51->64->77->90->103->116->129->142->155->168->181->169->355,True
0,412,406,412->169->170->183->196->209->406,412->169->170->183->196->209->406,True
0,406,412,406->209->196->183->170->169->412,406->209->196->183->170->169->412,True
0,432,446,432->222->223->224->237->250->263->276->289->302->315->328->341->3->16->29->42->43->44->446,432->222->223->224->237->250->263->276->289->302->315->328->341->3->16->29->42->43->44->446,True
0,446,432,446->44->43->42->29->16->3->341->328->315->302->289->276->263->250->237->224->223->222->432,446->44->43->42->29->16->3->341->328->315->302->289->276->263->250->237->224->223->222->432,True
0,394,361,394->44->31->18->361,394->44->31->18->361,True
0,361,394,361->18->31->44->394,361->18->31->44->394,True
0,441,436,441->241->240->239->238->237->224->223->222->436,441->241->240->239->238->237->224->223->222->436,True
0,436,441,436->222->223->224->237->238->239->240->241->441,436->222->223->224->237->238->239->240->241->441,True
0,366,367,366->209->196->183->170->157->144->131->118->105->104->367,366->209->196->183->170->157->144->131->118->105->104->367,True
