algorithm,timestep_ns,fstate_entry_diff_vs_baseline
algorithm_free_one_only_over_isls3,0,4264
algorithm_free_one_only_over_isls3,10000000000,3830
algorithm_free_one_only_over_isls3,20000000000,3600
algorithm_free_one_only_over_isls3,30000000000,3607
algorithm_free_one_only_over_isls3,40000000000,2939
algorithm_free_one_only_over_isls3,50000000000,2651
algorithm_free_one_only_over_isls3,60000000000,2946
algorithm_free_one_only_over_isls3,70000000000,2710
algorithm_free_one_only_over_isls3,80000000000,2638
algorithm_free_one_only_over_isls3,90000000000,2583
algorithm_free_one_only_over_isls3,100000000000,2096
algorithm_free_one_only_over_isls3,110000000000,3370
algorithm_free_one_only_over_isls5,0,5940
algorithm_free_one_only_over_isls5,10000000000,5278
algorithm_free_one_only_over_isls5,20000000000,4932
algorithm_free_one_only_over_isls5,30000000000,5040
algorithm_free_one_only_over_isls5,40000000000,5021
algorithm_free_one_only_over_isls5,50000000000,4896
algorithm_free_one_only_over_isls5,60000000000,4693
algorithm_free_one_only_over_isls5,70000000000,4441
algorithm_free_one_only_over_isls5,80000000000,4384
algorithm_free_one_only_over_isls5,90000000000,5328
algorithm_free_one_only_over_isls5,100000000000,5321
algorithm_free_one_only_over_isls5,110000000000,4879
algorithm_direction_aware_floyd_warshall_beta_0_0,0,0
algorithm_direction_aware_floyd_warshall_beta_0_0,10000000000,0
algorithm_direction_aware_floyd_warshall_beta_0_0,20000000000,0
algorithm_direction_aware_floyd_warshall_beta_0_0,30000000000,0
algorithm_direction_aware_floyd_warshall_beta_0_0,40000000000,0
algorithm_direction_aware_floyd_warshall_beta_0_0,50000000000,0
algorithm_direction_aware_floyd_warshall_beta_0_0,60000000000,0
algorithm_direction_aware_floyd_warshall_beta_0_0,70000000000,0
algorithm_direction_aware_floyd_warshall_beta_0_0,80000000000,0
algorithm_direction_aware_floyd_warshall_beta_0_0,90000000000,0
algorithm_direction_aware_floyd_warshall_beta_0_0,100000000000,0
algorithm_direction_aware_floyd_warshall_beta_0_0,110000000000,0
algorithm_direction_aware_floyd_warshall_beta_0_01,0,918
algorithm_direction_aware_floyd_warshall_beta_0_01,10000000000,4
algorithm_direction_aware_floyd_warshall_beta_0_01,20000000000,14
algorithm_direction_aware_floyd_warshall_beta_0_01,30000000000,17
algorithm_direction_aware_floyd_warshall_beta_0_01,40000000000,19
algorithm_direction_aware_floyd_warshall_beta_0_01,50000000000,42
algorithm_direction_aware_floyd_warshall_beta_0_01,60000000000,25
algorithm_direction_aware_floyd_warshall_beta_0_01,70000000000,23
algorithm_direction_aware_floyd_warshall_beta_0_01,80000000000,20
algorithm_direction_aware_floyd_warshall_beta_0_01,90000000000,40
algorithm_direction_aware_floyd_warshall_beta_0_01,100000000000,58
algorithm_direction_aware_floyd_warshall_beta_0_01,110000000000,59
algorithm_direction_aware_floyd_warshall_beta_0_02,0,933
algorithm_direction_aware_floyd_warshall_beta_0_02,10000000000,31
algorithm_direction_aware_floyd_warshall_beta_0_02,20000000000,34
algorithm_direction_aware_floyd_warshall_beta_0_02,30000000000,51
algorithm_direction_aware_floyd_warshall_beta_0_02,40000000000,65
algorithm_direction_aware_floyd_warshall_beta_0_02,50000000000,64
algorithm_direction_aware_floyd_warshall_beta_0_02,60000000000,50
algorithm_direction_aware_floyd_warshall_beta_0_02,70000000000,48
algorithm_direction_aware_floyd_warshall_beta_0_02,80000000000,44
algorithm_direction_aware_floyd_warshall_beta_0_02,90000000000,43
algorithm_direction_aware_floyd_warshall_beta_0_02,100000000000,61
algorithm_direction_aware_floyd_warshall_beta_0_02,110000000000,59
algorithm_direction_aware_floyd_warshall_beta_0_05,0,1005
algorithm_direction_aware_floyd_warshall_beta_0_05,10000000000,93
algorithm_direction_aware_floyd_warshall_beta_0_05,20000000000,93
algorithm_direction_aware_floyd_warshall_beta_0_05,30000000000,147
algorithm_direction_aware_floyd_warshall_beta_0_05,40000000000,129
algorithm_direction_aware_floyd_warshall_beta_0_05,50000000000,133
algorithm_direction_aware_floyd_warshall_beta_0_05,60000000000,100
algorithm_direction_aware_floyd_warshall_beta_0_05,70000000000,99
algorithm_direction_aware_floyd_warshall_beta_0_05,80000000000,94
algorithm_direction_aware_floyd_warshall_beta_0_05,90000000000,91
algorithm_direction_aware_floyd_warshall_beta_0_05,100000000000,117
algorithm_direction_aware_floyd_warshall_beta_0_05,110000000000,377
algorithm_direction_aware_floyd_warshall_beta_0_1,0,3739
algorithm_direction_aware_floyd_warshall_beta_0_1,10000000000,2855
algorithm_direction_aware_floyd_warshall_beta_0_1,20000000000,2862
algorithm_direction_aware_floyd_warshall_beta_0_1,30000000000,2951
algorithm_direction_aware_floyd_warshall_beta_0_1,40000000000,2905
algorithm_direction_aware_floyd_warshall_beta_0_1,50000000000,2893
algorithm_direction_aware_floyd_warshall_beta_0_1,60000000000,2851
algorithm_direction_aware_floyd_warshall_beta_0_1,70000000000,2831
algorithm_direction_aware_floyd_warshall_beta_0_1,80000000000,2822
algorithm_direction_aware_floyd_warshall_beta_0_1,90000000000,2832
algorithm_direction_aware_floyd_warshall_beta_0_1,100000000000,2835
algorithm_direction_aware_floyd_warshall_beta_0_1,110000000000,4661
algorithm_direction_aware_floyd_warshall_beta_0_2,0,3892
algorithm_direction_aware_floyd_warshall_beta_0_2,10000000000,3013
algorithm_direction_aware_floyd_warshall_beta_0_2,20000000000,3112
algorithm_direction_aware_floyd_warshall_beta_0_2,30000000000,3165
algorithm_direction_aware_floyd_warshall_beta_0_2,40000000000,3098
algorithm_direction_aware_floyd_warshall_beta_0_2,50000000000,3060
algorithm_direction_aware_floyd_warshall_beta_0_2,60000000000,3021
algorithm_direction_aware_floyd_warshall_beta_0_2,70000000000,3010
algorithm_direction_aware_floyd_warshall_beta_0_2,80000000000,2952
algorithm_direction_aware_floyd_warshall_beta_0_2,90000000000,3854
algorithm_direction_aware_floyd_warshall_beta_0_2,100000000000,5096
algorithm_direction_aware_floyd_warshall_beta_0_2,110000000000,5121
algorithm_direction_aware_floyd_warshall_beta_0_3,0,6223
algorithm_direction_aware_floyd_warshall_beta_0_3,10000000000,5780
algorithm_direction_aware_floyd_warshall_beta_0_3,20000000000,5789
algorithm_direction_aware_floyd_warshall_beta_0_3,30000000000,5801
algorithm_direction_aware_floyd_warshall_beta_0_3,40000000000,5734
algorithm_direction_aware_floyd_warshall_beta_0_3,50000000000,5720
algorithm_direction_aware_floyd_warshall_beta_0_3,60000000000,5668
algorithm_direction_aware_floyd_warshall_beta_0_3,70000000000,5891
algorithm_direction_aware_floyd_warshall_beta_0_3,80000000000,7303
algorithm_direction_aware_floyd_warshall_beta_0_3,90000000000,7703
algorithm_direction_aware_floyd_warshall_beta_0_3,100000000000,7743
algorithm_direction_aware_floyd_warshall_beta_0_3,110000000000,7774
