beta,timestep_ns,src,dst,baseline_path,da_path,path_changed,baseline_hop_count,da_hop_count,baseline_total_cost_m,da_modified_total_cost_m,baseline_path_da_modified_cost_m,da_path_baseline_cost_m,baseline_physical_rtt_ms,da_physical_rtt_ms
0.01,0,399,447,399->19->18->17->16->29->42->55->68->81->94->107->120->133->132->131->130->447,399->19->18->17->16->29->42->55->68->81->94->107->120->133->132->131->130->447,False,17,17,40036604.01522177,40283097.59966054,40283097.59966054,40036604.01522177,267.095471862883,267.095471862883
0.01,0,447,399,447->130->131->132->133->120->107->94->81->68->55->42->29->16->17->18->19->399,447->130->131->132->133->120->107->94->81->68->55->42->29->16->17->18->19->399,False,17,17,40036604.015221775,39790037.43395113,39790037.43395113,40036604.015221775,267.0954718628831,267.0954718628831
0.01,0,425,410,425->187->200->213->226->239->240->241->410,425->187->200->213->226->239->240->241->410,False,8,8,18697558.98184062,18646035.94290331,18646035.94290331,18697558.98184062,124.73668688383496,124.73668688383496
0.01,0,410,425,410->241->240->239->226->213->200->187->425,410->241->240->239->226->213->200->187->425,False,8,8,18697558.981840618,18756141.302979622,18756141.302979622,18697558.981840618,124.73668688383493,124.73668688383493
0.01,0,386,424,386->195->196->197->198->211->224->237->250->263->276->289->302->303->424,386->195->196->197->198->211->224->237->250->263->276->289->302->303->424,False,14,14,30747829.403975915,30630956.17313997,30630956.17313997,30747829.403975915,205.12743788888721,205.12743788888721
0.01,0,424,386,424->303->302->289->276->263->250->237->224->211->198->197->196->195->386,424->303->302->289->276->263->250->237->224->211->198->197->196->195->386,False,14,14,30747829.40397591,30864705.63818938,30864705.63818938,30747829.40397591,205.1274378888872,205.1274378888872
0.01,0,355,401,355->169->181->168->155->142->129->116->103->90->77->64->51->38->401,355->169->181->168->155->142->129->116->103->90->77->64->51->38->401,False,14,14,32034182.872998983,32052805.146595813,32052805.146595813,32034182.872998983,213.70906450888089,213.70906450888089
0.01,0,401,355,401->38->51->64->77->90->103->116->129->142->155->168->181->169->355,401->38->51->64->77->90->103->116->129->142->155->168->181->169->355,False,14,14,32034182.87299898,32029431.69674194,32029431.69674194,32034182.87299898,213.70906450888086,213.70906450888086
0.01,0,412,406,412->169->170->183->196->209->406,412->169->170->183->196->209->406,False,6,6,13213667.082365327,13204256.595858086,13204256.595858086,13213667.082365327,88.15209809157591,88.15209809157591
0.01,0,406,412,406->209->196->183->170->169->412,406->209->196->183->170->169->412,False,6,6,13213667.082365327,13217748.424513184,13217748.424513184,13213667.082365327,88.15209809157591,88.15209809157591
0.01,0,432,446,432->222->223->224->237->250->263->276->289->302->315->328->341->3->16->29->42->43->44->446,432->222->223->224->237->250->263->276->289->302->315->328->341->3->16->29->42->43->44->446,False,19,19,38360467.36273173,38256241.15248481,38256241.15248481,38360467.36273173,255.913491744557,255.913491744557
0.01,0,446,432,446->44->43->42->29->16->3->341->328->315->302->289->276->263->250->237->224->223->222->432,446->44->43->42->29->16->3->341->328->315->302->289->276->263->250->237->224->223->222->432,False,19,19,38360467.36273173,38464150.909246325,38464150.909246325,38360467.36273173,255.913491744557,255.913491744557
