algorithm,avg_rtt_ms,avg_hop_count,reachability_ratio,path_changes_total,route_change_rate,avg_fstate_updates_per_step
algorithm_free_one_only_over_isls,167.32533026030376,11.281666666666666,1.0,110,0.1,5202.083333333333
algorithm_free_one_only_over_isls3,147.07733118228435,9.906666666666666,1.0,121,0.11,5591.5
algorithm_free_one_only_over_isls5,139.35882353998832,9.355,1.0,121,0.11,5607.583333333333
algorithm_direction_aware_floyd_warshall_beta_0_0,167.32533026030376,11.281666666666666,1.0,110,0.1,5202.083333333333
algorithm_direction_aware_floyd_warshall_beta_0_01,167.32533026030376,11.281666666666666,1.0,110,0.1,5131.416666666667
algorithm_direction_aware_floyd_warshall_beta_0_02,167.32533026030376,11.281666666666666,1.0,110,0.1,5127.833333333333
algorithm_direction_aware_floyd_warshall_beta_0_05,167.33409570943496,11.275833333333333,1.0,108,0.09818181818181818,5147.75
algorithm_direction_aware_floyd_warshall_beta_0_1,169.48652634045249,11.365,1.0,113,0.10272727272727272,5350.416666666667
algorithm_direction_aware_floyd_warshall_beta_0_2,169.73169473548387,11.3975,1.0,114,0.10363636363636364,5377.166666666667
algorithm_direction_aware_floyd_warshall_beta_0_3,175.3529987841878,11.6325,1.0,113,0.10272727272727272,5426.083333333333
