sign,beta,samples_total,samples_reachable,reachability_ratio,avg_hop_count,avg_rtt_ms,path_changes_total,route_change_rate
minus,0.01,1200,1200,1.0,11.281666666666666,167.32533026030376,110,0.1
minus,0.02,1200,1200,1.0,11.281666666666666,167.32533026030376,110,0.1
minus,0.05,1200,1200,1.0,11.275833333333333,167.33409570943496,108,0.09818181818181818
minus,0.1,1200,1200,1.0,11.365,169.48652634045249,113,0.10272727272727272
minus,0.2,1200,1200,1.0,11.3975,169.73169473548387,114,0.10363636363636364
minus,0.3,1200,1200,1.0,11.6325,175.3529987841878,113,0.10272727272727272
plus,0.01,1200,1200,1.0,11.281666666666666,167.32533033358882,114,0.10363636363636364
plus,0.02,1200,1200,1.0,11.281666666666666,167.32533033358882,114,0.10363636363636364
plus,0.05,1200,1200,1.0,11.275833333333333,167.33392898746538,114,0.10363636363636364
plus,0.1,1200,1200,1.0,11.365,169.48846418561178,120,0.10909090909090909
plus,0.2,1200,1200,1.0,11.3975,169.73331602079398,121,0.11
plus,0.3,1200,1200,1.0,11.6325,175.35928564098057,125,0.11363636363636363
